key,truth,prediction
15,"{'heading': '205', 'target': 'silver and black fighter jet', 'tool': 'EMP'}","{'heading': '205', 'tool': 'emp', 'target': 'silver and black fighter jet'}"
16,"{'heading': '205', 'target': 'purple, orange, and red helicopter', 'tool': 'electromagnetic pulse'}","{'heading': '205', 'tool': 'electromagnetic pulse', 'target': 'purple, orange, and red helicopter'}"
17,"{'heading': '240', 'target': 'brown, grey, and white fighter plane', 'tool': 'anti-air artillery'}","{'heading': '240', 'tool': 'anti - air artillery', 'target': 'brown, grey, and white fighter plane'}"
18,"{'heading': '195', 'target': 'yellow fighter plane', 'tool': 'machine gun'}","{'heading': '195', 'tool': 'machine gun', 'target': 'yellow fighter plane'}"
19,"{'heading': '085', 'target': 'green commercial aircraft', 'tool': 'interceptor jets'}","{'heading': '085', 'tool': 'interceptor jets', 'target': 'green commercial aircraft'}"
20,"{'heading': '335', 'target': 'orange, silver, and yellow cargo aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '335', 'tool': 'electromagnetic pulse', 'target': 'orange, silver, and yellow cargo aircraft'}"
21,"{'heading': '315', 'target': 'orange commercial aircraft', 'tool': 'interceptor jets'}","{'heading': '315', 'tool': 'interceptor jets', 'target': 'orange commercial aircraft'}"
22,"{'heading': '230', 'target': 'black drone', 'tool': 'machine gun'}","{'heading': '230', 'tool': 'machine gun', 'target': 'black drone'}"
23,"{'heading': '235', 'target': 'red drone', 'tool': 'machine gun'}","{'heading': '235', 'tool': 'machine gun', 'target': 'red drone'}"
24,"{'heading': '335', 'target': 'grey camouflage cargo aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '335', 'tool': 'electromagnetic pulse', 'target': 'grey camouflage cargo aircraft'}"
25,"{'heading': '135', 'target': 'orange and black helicopter', 'tool': 'machine gun'}","{'heading': '135', 'tool': 'machine gun', 'target': 'orange and black helicopter'}"
26,"{'heading': '305', 'target': 'silver, grey, and red fighter jet', 'tool': 'interceptor jets'}","{'heading': '305', 'tool': 'interceptor jets', 'target': 'silver, grey, and red fighter jet'}"
27,"{'heading': '185', 'target': 'grey, blue, and yellow fighter plane', 'tool': 'anti-air artillery'}","{'heading': '185', 'tool': 'anti - air artillery', 'target': 'grey, blue, and yellow fighter plane'}"
28,"{'heading': '125', 'target': 'red cargo aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '125', 'tool': 'electromagnetic pulse', 'target': 'red cargo aircraft'}"
29,"{'heading': '270', 'target': 'brown and grey fighter plane', 'tool': 'electromagnetic pulse'}","{'heading': '270', 'tool': 'electromagnetic pulse', 'target': 'brown and grey fighter plane'}"
30,"{'heading': '090', 'target': 'red and silver light aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '090', 'tool': 'surface - to - air missiles', 'target': 'red and silver light aircraft'}"
31,"{'heading': '320', 'target': 'purple and black commercial aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '320', 'tool': 'surface - to - air missiles', 'target': 'purple and black commercial aircraft'}"
32,"{'heading': '295', 'target': 'yellow, white, and orange fighter plane', 'tool': 'machine gun'}","{'heading': '295', 'tool': 'machine gun', 'target': 'yellow, white, and orange fighter plane'}"
33,"{'heading': '135', 'target': 'red and blue drone', 'tool': 'drone catcher'}","{'heading': '135', 'tool': 'drone catcher', 'target': 'red and blue drone'}"
34,"{'heading': '265', 'target': 'blue, yellow, and purple helicopter', 'tool': 'anti-air artillery'}","{'heading': '265', 'tool': 'anti - air artillery', 'target': 'blue, yellow, and purple helicopter'}"
35,"{'heading': '270', 'target': 'silver missile', 'tool': 'machine gun'}","{'heading': '270', 'tool': 'machine gun', 'target': 'silver missile'}"
36,"{'heading': '350', 'target': 'silver and yellow light aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '350', 'tool': 'electromagnetic pulse', 'target': 'silver and yellow light aircraft'}"
37,"{'heading': '340', 'target': 'brown, silver, and green drone', 'tool': 'electromagnetic pulse'}","{'heading': '340', 'tool': 'electromagnetic pulse', 'target': 'brown, silver, and green drone'}"
38,"{'heading': '250', 'target': 'red fighter plane', 'tool': 'electromagnetic pulse'}","{'heading': '250', 'tool': 'electromagnetic pulse', 'target': 'red fighter plane'}"
39,"{'heading': '330', 'target': 'yellow and white camouflage fighter jet', 'tool': 'electromagnetic pulse'}","{'heading': '330', 'tool': 'electromagnetic pulse', 'target': 'yellow and white camouflage fighter jet'}"
40,"{'heading': '285', 'target': 'red, black, and green drone', 'tool': 'surface-to-air missiles'}","{'heading': '285', 'tool': 'surface - to - air missiles', 'target': 'red, black, and green drone'}"
41,"{'heading': '040', 'target': 'orange and yellow fighter jet', 'tool': 'interceptor jets'}","{'heading': '040', 'tool': 'interceptor jets', 'target': 'orange and yellow fighter jet'}"
42,"{'heading': '115', 'target': 'silver, brown, and grey cargo aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '115', 'tool': 'surface - to - air missiles', 'target': 'silver, brown, and grey cargo aircraft'}"
43,"{'heading': '065', 'target': 'red, green, and purple commercial aircraft', 'tool': 'EMP'}","{'heading': '065', 'tool': 'emp', 'target': 'red, green, and purple commercial aircraft'}"
44,"{'heading': '240', 'target': 'silver, blue, and brown missile', 'tool': 'EMP'}","{'heading': '240', 'tool': 'emp', 'target': 'silver, blue, and brown missile'}"
45,"{'heading': '145', 'target': 'yellow and silver missile', 'tool': 'machine gun'}","{'heading': '145', 'tool': 'machine gun', 'target': 'yellow and silver missile'}"
46,"{'heading': '325', 'target': 'blue and orange fighter jet', 'tool': 'anti-air artillery'}","{'heading': '325', 'tool': 'anti - air artillery', 'target': 'blue and orange fighter jet'}"
47,"{'heading': '090', 'target': 'black camouflage commercial aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '090', 'tool': 'electromagnetic pulse', 'target': 'black camouflage commercial aircraft'}"
48,"{'heading': '340', 'target': 'blue light aircraft', 'tool': 'machine gun'}","{'heading': '340', 'tool': 'machine gun', 'target': 'blue light aircraft'}"
49,"{'heading': '330', 'target': 'silver, black, and orange drone', 'tool': 'machine gun'}","{'heading': '330', 'tool': 'machine gun', 'target': 'silver, black, and orange drone'}"
50,"{'heading': '155', 'target': 'purple, brown, and silver cargo aircraft', 'tool': 'anti-air artillery'}","{'heading': '155', 'tool': 'anti - air artillery', 'target': 'purple, brown, and silver cargo aircraft'}"
51,"{'heading': '285', 'target': 'blue and brown light aircraft', 'tool': 'anti-air artillery'}","{'heading': '285', 'tool': 'anti - air artillery', 'target': 'blue and brown light aircraft'}"
52,"{'heading': '360', 'target': 'yellow, silver, and red cargo aircraft', 'tool': 'interceptor jets'}","{'heading': '360', 'tool': 'interceptor jets', 'target': 'yellow, silver, and red cargo aircraft'}"
53,"{'heading': '310', 'target': 'green, red, and black fighter jet', 'tool': 'anti-air artillery'}","{'heading': '310', 'tool': 'anti - air artillery', 'target': 'green, red, and black fighter jet'}"
54,"{'heading': '075', 'target': 'silver, red, and white light aircraft', 'tool': 'anti-air artillery'}","{'heading': '075', 'tool': 'anti - air artillery', 'target': 'silver, red, and white light aircraft'}"
55,"{'heading': '045', 'target': 'green fighter jet', 'tool': 'EMP'}","{'heading': '045', 'tool': 'emp', 'target': 'green fighter jet'}"
56,"{'heading': '275', 'target': 'white and grey drone', 'tool': 'anti-air artillery'}","{'heading': '275', 'tool': 'anti - air artillery', 'target': 'white and grey drone'}"
57,"{'heading': '140', 'target': 'brown and blue helicopter', 'tool': 'electromagnetic pulse'}","{'heading': '140', 'tool': 'electromagnetic pulse', 'target': 'brown and blue helicopter'}"
58,"{'heading': '290', 'target': 'blue and white light aircraft', 'tool': 'EMP'}","{'heading': '290', 'tool': 'emp', 'target': 'blue and white light aircraft'}"
59,"{'heading': '290', 'target': 'grey and white drone', 'tool': 'surface-to-air missiles'}","{'heading': '290', 'tool': 'surface - to - air missiles', 'target': 'grey and white drone'}"
60,"{'heading': '350', 'target': 'black and orange fighter plane', 'tool': 'machine gun'}","{'heading': '350', 'tool': 'machine gun', 'target': 'black and orange fighter plane'}"
61,"{'heading': '025', 'target': 'grey and yellow cargo aircraft', 'tool': 'anti-air artillery'}","{'heading': '025', 'tool': 'anti - air artillery', 'target': 'grey and yellow cargo aircraft'}"
62,"{'heading': '215', 'target': 'black and red fighter jet', 'tool': 'surface-to-air missiles'}","{'heading': '215', 'tool': 'surface - to - air missiles', 'target': 'black and red fighter jet'}"
63,"{'heading': '335', 'target': 'grey commercial aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '335', 'tool': 'electromagnetic pulse', 'target': 'grey commercial aircraft'}"
64,"{'heading': '075', 'target': 'red and yellow helicopter', 'tool': 'surface-to-air missiles'}","{'heading': '075', 'tool': 'surface - to - air missiles', 'target': 'red and yellow helicopter'}"
65,"{'heading': '345', 'target': 'orange light aircraft', 'tool': 'EMP'}","{'heading': '345', 'tool': 'emp', 'target': 'orange light aircraft'}"
66,"{'heading': '260', 'target': 'purple, white, and green drone', 'tool': 'EMP'}","{'heading': '260', 'tool': 'emp', 'target': 'purple, white, and green drone'}"
67,"{'heading': '230', 'target': 'yellow, white, and blue light aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '230', 'tool': 'surface - to - air missiles', 'target': 'yellow, white, and blue light aircraft'}"
68,"{'heading': '265', 'target': 'black cargo aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '265', 'tool': 'surface - to - air missiles', 'target': 'black cargo aircraft'}"
69,"{'heading': '355', 'target': 'red and grey commercial aircraft', 'tool': 'EMP'}","{'heading': '355', 'tool': 'emp', 'target': 'red and grey commercial aircraft'}"
70,"{'heading': '225', 'target': 'yellow, grey, and orange helicopter', 'tool': 'machine gun'}","{'heading': '225', 'tool': 'machine gun', 'target': 'yellow, grey, and orange helicopter'}"
71,"{'heading': '230', 'target': 'orange, purple, and black fighter plane', 'tool': 'interceptor jets'}","{'heading': '230', 'tool': 'interceptor jets', 'target': 'orange, purple, and black fighter plane'}"
72,"{'heading': '260', 'target': 'grey, black, and orange missile', 'tool': 'machine gun'}","{'heading': '260', 'tool': 'machine gun', 'target': 'grey, black, and orange missile'}"
73,"{'heading': '070', 'target': 'silver and red camouflage fighter jet', 'tool': 'anti-air artillery'}","{'heading': '070', 'tool': 'anti - air artillery', 'target': 'silver and red camouflage fighter jet'}"
74,"{'heading': '185', 'target': 'red, green, and silver missile', 'tool': 'surface-to-air missiles'}","{'heading': '185', 'tool': 'surface - to - air missiles', 'target': 'red, green, and silver missile'}"
75,"{'heading': '340', 'target': 'yellow and red helicopter', 'tool': 'machine gun'}","{'heading': '340', 'tool': 'machine gun', 'target': 'yellow and red helicopter'}"
76,"{'heading': '345', 'target': 'blue fighter jet', 'tool': 'surface-to-air missiles'}","{'heading': '345', 'tool': 'surface - to - air missiles', 'target': 'blue fighter jet'}"
77,"{'heading': '185', 'target': 'orange drone', 'tool': 'drone catcher'}","{'heading': '185', 'tool': 'drone catcher', 'target': 'orange drone'}"
78,"{'heading': '350', 'target': 'silver and purple camouflage cargo aircraft', 'tool': 'EMP'}","{'heading': '350', 'tool': 'emp', 'target': 'silver and purple camouflage cargo aircraft'}"
79,"{'heading': '335', 'target': 'blue, grey, and orange missile', 'tool': 'surface-to-air missiles'}","{'heading': '335', 'tool': 'surface - to - air missiles', 'target': 'blue, grey, and orange missile'}"
80,"{'heading': '100', 'target': 'yellow fighter plane', 'tool': 'surface-to-air missiles'}","{'heading': '100', 'tool': 'surface - to - air missiles', 'target': 'yellow fighter plane'}"
81,"{'heading': '100', 'target': 'purple, silver, and grey fighter plane', 'tool': 'machine gun'}","{'heading': '100', 'tool': 'machine gun', 'target': 'purple, silver, and grey fighter plane'}"
82,"{'heading': '220', 'target': 'red, black, and purple cargo aircraft', 'tool': 'interceptor jets'}","{'heading': '220', 'tool': 'interceptor jets', 'target': 'red, black, and purple cargo aircraft'}"
83,"{'heading': '255', 'target': 'grey and green fighter plane', 'tool': 'electromagnetic pulse'}","{'heading': '255', 'tool': 'electromagnetic pulse', 'target': 'grey and green fighter plane'}"
84,"{'heading': '180', 'target': 'brown commercial aircraft', 'tool': 'EMP'}","{'heading': '180', 'tool': 'emp', 'target': 'brown commercial aircraft'}"
85,"{'heading': '310', 'target': 'black cargo aircraft', 'tool': 'interceptor jets'}","{'heading': '310', 'tool': 'interceptor jets', 'target': 'black cargo aircraft'}"
86,"{'heading': '280', 'target': 'purple, green, and orange cargo aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '280', 'tool': 'electromagnetic pulse', 'target': 'purple, green, and orange cargo aircraft'}"
87,"{'heading': '350', 'target': 'brown, purple, and blue drone', 'tool': 'electromagnetic pulse'}","{'heading': '350', 'tool': 'electromagnetic pulse', 'target': 'brown, purple, and blue drone'}"
88,"{'heading': '180', 'target': 'brown light aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '180', 'tool': 'electromagnetic pulse', 'target': 'brown light aircraft'}"
89,"{'heading': '175', 'target': 'yellow and black fighter jet', 'tool': 'machine gun'}","{'heading': '175', 'tool': 'machine gun', 'target': 'yellow and black fighter jet'}"
90,"{'heading': '250', 'target': 'silver and green helicopter', 'tool': 'machine gun'}","{'heading': '250', 'tool': 'machine gun', 'target': 'silver and green helicopter'}"
91,"{'heading': '260', 'target': 'orange and white fighter jet', 'tool': 'electromagnetic pulse'}","{'heading': '260', 'tool': 'electromagnetic pulse', 'target': 'orange and white fighter jet'}"
92,"{'heading': '195', 'target': 'yellow, red, and silver fighter plane', 'tool': 'interceptor jets'}","{'heading': '195', 'tool': 'interceptor jets', 'target': 'yellow, red, and silver fighter plane'}"
93,"{'heading': '345', 'target': 'orange and purple missile', 'tool': 'anti-air artillery'}","{'heading': '345', 'tool': 'anti - air artillery', 'target': 'orange and purple missile'}"
94,"{'heading': '305', 'target': 'purple, yellow, and brown fighter plane', 'tool': 'electromagnetic pulse'}","{'heading': '305', 'tool': 'electromagnetic pulse', 'target': 'purple, yellow, and brown fighter plane'}"
95,"{'heading': '330', 'target': 'orange, white, and blue fighter plane', 'tool': 'interceptor jets'}","{'heading': '330', 'tool': 'interceptor jets', 'target': 'orange, white, and blue fighter plane'}"
96,"{'heading': '125', 'target': 'silver, green, and orange cargo aircraft', 'tool': 'EMP'}","{'heading': '125', 'tool': 'emp', 'target': 'silver, green, and orange cargo aircraft'}"
97,"{'heading': '270', 'target': 'silver and black commercial aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '270', 'tool': 'electromagnetic pulse', 'target': 'silver and black commercial aircraft'}"
98,"{'heading': '275', 'target': 'grey missile', 'tool': 'machine gun'}","{'heading': '275', 'tool': 'machine gun', 'target': 'grey missile'}"
99,"{'heading': '305', 'target': 'orange missile', 'tool': 'EMP'}","{'heading': '305', 'tool': 'emp', 'target': 'orange missile'}"
100,"{'heading': '150', 'target': 'green, black, and silver missile', 'tool': 'EMP'}","{'heading': '150', 'tool': 'emp', 'target': 'green, black, and silver missile'}"
101,"{'heading': '175', 'target': 'brown fighter plane', 'tool': 'interceptor jets'}","{'heading': '175', 'tool': 'interceptor jets', 'target': 'brown fighter plane'}"
102,"{'heading': '005', 'target': 'red fighter jet', 'tool': 'EMP'}","{'heading': '005', 'tool': 'emp', 'target': 'red fighter jet'}"
103,"{'heading': '230', 'target': 'blue drone', 'tool': 'EMP'}","{'heading': '230', 'tool': 'emp', 'target': 'blue drone'}"
104,"{'heading': '105', 'target': 'brown and white cargo aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '105', 'tool': 'electromagnetic pulse', 'target': 'brown and white cargo aircraft'}"
105,"{'heading': '105', 'target': 'blue light aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '105', 'tool': 'electromagnetic pulse', 'target': 'blue light aircraft'}"
106,"{'heading': '085', 'target': 'white, yellow, and silver commercial aircraft', 'tool': 'EMP'}","{'heading': '085', 'tool': 'emp', 'target': 'white, yellow, and silver commercial aircraft'}"
107,"{'heading': '240', 'target': 'yellow, green, and orange commercial aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '240', 'tool': 'surface - to - air missiles', 'target': 'yellow, green, and orange commercial aircraft'}"
108,"{'heading': '030', 'target': 'red, silver, and purple cargo aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '030', 'tool': 'surface - to - air missiles', 'target': 'red, silver, and purple cargo aircraft'}"
109,"{'heading': '165', 'target': 'silver, blue, and green drone', 'tool': 'anti-air artillery'}","{'heading': '165', 'tool': 'anti - air artillery', 'target': 'silver, blue, and green drone'}"
110,"{'heading': '250', 'target': 'grey and blue commercial aircraft', 'tool': 'anti-air artillery'}","{'heading': '250', 'tool': 'anti - air artillery', 'target': 'grey and blue commercial aircraft'}"
111,"{'heading': '165', 'target': 'white and blue drone', 'tool': 'anti-air artillery'}","{'heading': '165', 'tool': 'anti - air artillery', 'target': 'white and blue drone'}"
112,"{'heading': '175', 'target': 'blue light aircraft', 'tool': 'machine gun'}","{'heading': '175', 'tool': 'machine gun', 'target': 'blue light aircraft'}"
113,"{'heading': '230', 'target': 'red and purple fighter jet', 'tool': 'surface-to-air missiles'}","{'heading': '230', 'tool': 'surface - to - air missiles', 'target': 'red and purple fighter jet'}"
114,"{'heading': '105', 'target': 'black commercial aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '105', 'tool': 'surface - to - air missiles', 'target': 'black commercial aircraft'}"
115,"{'heading': '320', 'target': 'black and brown helicopter', 'tool': 'machine gun'}","{'heading': '320', 'tool': 'machine gun', 'target': 'black and brown helicopter'}"
116,"{'heading': '240', 'target': 'black and grey fighter plane', 'tool': 'EMP'}","{'heading': '240', 'tool': 'emp', 'target': 'black and grey fighter plane'}"
117,"{'heading': '060', 'target': 'black and grey cargo aircraft', 'tool': 'EMP'}","{'heading': '060', 'tool': 'emp', 'target': 'black and grey cargo aircraft'}"
118,"{'heading': '075', 'target': 'blue and orange fighter jet', 'tool': 'electromagnetic pulse'}","{'heading': '075', 'tool': 'electromagnetic pulse', 'target': 'blue and orange fighter jet'}"
119,"{'heading': '255', 'target': 'black drone', 'tool': 'drone catcher'}","{'heading': '255', 'tool': 'drone catcher', 'target': 'black drone'}"
120,"{'heading': '080', 'target': 'yellow and black light aircraft', 'tool': 'machine gun'}","{'heading': '080', 'tool': 'machine gun', 'target': 'yellow and black light aircraft'}"
121,"{'heading': '055', 'target': 'purple light aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '055', 'tool': 'surface - to - air missiles', 'target': 'purple light aircraft'}"
122,"{'heading': '040', 'target': 'yellow, silver, and grey missile', 'tool': 'electromagnetic pulse'}","{'heading': '040', 'tool': 'electromagnetic pulse', 'target': 'yellow, silver, and grey missile'}"
123,"{'heading': '285', 'target': 'white, silver, and orange light aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '285', 'tool': 'surface - to - air missiles', 'target': 'white, silver, and orange light aircraft'}"
124,"{'heading': '325', 'target': 'blue, orange, and brown missile', 'tool': 'surface-to-air missiles'}","{'heading': '325', 'tool': 'surface - to - air missiles', 'target': 'blue, orange, and brown missile'}"
125,"{'heading': '150', 'target': 'green, blue, and orange drone', 'tool': 'anti-air artillery'}","{'heading': '150', 'tool': 'anti - air artillery', 'target': 'green, blue, and orange drone'}"
126,"{'heading': '055', 'target': 'red, purple, and silver fighter jet', 'tool': 'EMP'}","{'heading': '055', 'tool': 'emp', 'target': 'red, purple, and silver fighter jet'}"
127,"{'heading': '155', 'target': 'yellow and silver fighter plane', 'tool': 'machine gun'}","{'heading': '155', 'tool': 'machine gun', 'target': 'yellow and silver fighter plane'}"
128,"{'heading': '340', 'target': 'green, grey, and orange light aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '340', 'tool': 'surface - to - air missiles', 'target': 'green, grey, and orange light aircraft'}"
129,"{'heading': '175', 'target': 'blue and brown fighter plane', 'tool': 'machine gun'}","{'heading': '175', 'tool': 'machine gun', 'target': 'blue and brown fighter plane'}"
130,"{'heading': '325', 'target': 'yellow drone', 'tool': 'machine gun'}","{'heading': '325', 'tool': 'machine gun', 'target': 'yellow drone'}"
131,"{'heading': '045', 'target': 'red helicopter', 'tool': 'anti-air artillery'}","{'heading': '045', 'tool': 'anti - air artillery', 'target': 'red helicopter'}"
132,"{'heading': '355', 'target': 'grey, silver, and red drone', 'tool': 'drone catcher'}","{'heading': '355', 'tool': 'drone catcher', 'target': 'grey, silver, and red drone'}"
133,"{'heading': '350', 'target': 'brown, purple, and blue fighter plane', 'tool': 'interceptor jets'}","{'heading': '350', 'tool': 'interceptor jets', 'target': 'brown, purple, and blue fighter plane'}"
134,"{'heading': '050', 'target': 'purple and grey light aircraft', 'tool': 'EMP'}","{'heading': '050', 'tool': 'emp', 'target': 'purple and grey light aircraft'}"
135,"{'heading': '015', 'target': 'purple and black commercial aircraft', 'tool': 'EMP'}","{'heading': '015', 'tool': 'emp', 'target': 'purple and black commercial aircraft'}"
136,"{'heading': '110', 'target': 'grey and orange fighter plane', 'tool': 'interceptor jets'}","{'heading': '110', 'tool': 'interceptor jets', 'target': 'grey and orange fighter plane'}"
137,"{'heading': '020', 'target': 'grey and yellow commercial aircraft', 'tool': 'anti-air artillery'}","{'heading': '020', 'tool': 'anti - air artillery', 'target': 'grey and yellow commercial aircraft'}"
138,"{'heading': '270', 'target': 'purple commercial aircraft', 'tool': 'interceptor jets'}","{'heading': '270', 'tool': 'interceptor jets', 'target': 'purple commercial aircraft'}"
139,"{'heading': '170', 'target': 'silver, grey, and yellow light aircraft', 'tool': 'machine gun'}","{'heading': '170', 'tool': 'machine gun', 'target': 'silver, grey, and yellow light aircraft'}"
140,"{'heading': '250', 'target': 'brown missile', 'tool': 'EMP'}","{'heading': '250', 'tool': 'emp', 'target': 'brown missile'}"
141,"{'heading': '265', 'target': 'white and silver cargo aircraft', 'tool': 'EMP'}","{'heading': '265', 'tool': 'emp', 'target': 'white and silver cargo aircraft'}"
142,"{'heading': '055', 'target': 'grey, orange, and yellow fighter jet', 'tool': 'surface-to-air missiles'}","{'heading': '055', 'tool': 'surface - to - air missiles', 'target': 'grey, orange, and yellow fighter jet'}"
143,"{'heading': '220', 'target': 'silver helicopter', 'tool': 'machine gun'}","{'heading': '220', 'tool': 'machine gun', 'target': 'silver helicopter'}"
144,"{'heading': '130', 'target': 'blue and yellow camouflage cargo aircraft', 'tool': 'anti-air artillery'}","{'heading': '130', 'tool': 'anti - air artillery', 'target': 'blue and yellow camouflage cargo aircraft'}"
145,"{'heading': '245', 'target': 'brown fighter jet', 'tool': 'machine gun'}","{'heading': '245', 'tool': 'machine gun', 'target': 'brown fighter jet'}"
146,"{'heading': '050', 'target': 'orange, brown, and yellow fighter jet', 'tool': 'machine gun'}","{'heading': '050', 'tool': 'machine gun', 'target': 'orange, brown, and yellow fighter jet'}"
147,"{'heading': '180', 'target': 'white and red light aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '180', 'tool': 'surface - to - air missiles', 'target': 'white and red light aircraft'}"
148,"{'heading': '190', 'target': 'silver and purple commercial aircraft', 'tool': 'EMP'}","{'heading': '190', 'tool': 'emp', 'target': 'silver and purple commercial aircraft'}"
149,"{'heading': '135', 'target': 'brown helicopter', 'tool': 'surface-to-air missiles'}","{'heading': '135', 'tool': 'surface - to - air missiles', 'target': 'brown helicopter'}"
150,"{'heading': '290', 'target': 'red cargo aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '290', 'tool': 'surface - to - air missiles', 'target': 'red cargo aircraft'}"
151,"{'heading': '355', 'target': 'purple fighter plane', 'tool': 'electromagnetic pulse'}","{'heading': '355', 'tool': 'electromagnetic pulse', 'target': 'purple fighter plane'}"
152,"{'heading': '150', 'target': 'grey missile', 'tool': 'electromagnetic pulse'}","{'heading': '150', 'tool': 'electromagnetic pulse', 'target': 'grey missile'}"
153,"{'heading': '295', 'target': 'yellow light aircraft', 'tool': 'machine gun'}","{'heading': '295', 'tool': 'machine gun', 'target': 'yellow light aircraft'}"
154,"{'heading': '325', 'target': 'silver fighter plane', 'tool': 'machine gun'}","{'heading': '325', 'tool': 'machine gun', 'target': 'silver fighter plane'}"
155,"{'heading': '115', 'target': 'brown, grey, and white fighter plane', 'tool': 'EMP'}","{'heading': '115', 'tool': 'emp', 'target': 'brown, grey, and white fighter plane'}"
156,"{'heading': '285', 'target': 'brown and purple commercial aircraft', 'tool': 'EMP'}","{'heading': '285', 'tool': 'emp', 'target': 'brown and purple commercial aircraft'}"
157,"{'heading': '255', 'target': 'green, black, and brown cargo aircraft', 'tool': 'EMP'}","{'heading': '255', 'tool': 'emp', 'target': 'green, black, and brown cargo aircraft'}"
158,"{'heading': '235', 'target': 'yellow, red, and brown cargo aircraft', 'tool': 'anti-air artillery'}","{'heading': '235', 'tool': 'anti - air artillery', 'target': 'yellow, red, and brown cargo aircraft'}"
159,"{'heading': '320', 'target': 'brown helicopter', 'tool': 'anti-air artillery'}","{'heading': '320', 'tool': 'anti - air artillery', 'target': 'brown helicopter'}"
160,"{'heading': '240', 'target': 'red camouflage fighter jet', 'tool': 'machine gun'}","{'heading': '240', 'tool': 'machine gun', 'target': 'red camouflage fighter jet'}"
161,"{'heading': '130', 'target': 'orange and yellow camouflage helicopter', 'tool': 'machine gun'}","{'heading': '130', 'tool': 'machine gun', 'target': 'orange and yellow camouflage helicopter'}"
