key,transcript,prediction
17,"Control to turrets, prepare to engage target at heading two four zero. Deploy anti-air artillery against the brown, grey, and white fighter plane. Take aim and fire at will. Over."," Control to target, prepare to engage target at heading 240. Deploy anti-air artillery against a round, grey and white fighter plane. Take aim and fire at will."
18,"Turret Mike, target yellow fighter plane at one niner five, engage with machine gun. Lock on and fire at will.", Start at mic. Target yellow fight of green at 195. In case it was machine cut. No corner fired at wits.
19,Deploy interceptor jets to intercept green commercial aircraft heading zero eight five., Deploy intercept the judge to intercept green commercial aircraft heading 0.085.
20,"Turret Charlie, heading three three five, deploy electromagnetic pulse on orange, silver, and yellow cargo aircraft."," Turgharly heading 335, deploy electromagnetic pulse on orange, silver and yellow cargo aircraft."
21,Deploy interceptor jets to intercept an orange commercial aircraft heading three one five., Deploy intercepted jet-stayed to set an orange commercial aircraft heading 315.
22,"Bravo, engage with machine gun, heading two three zero, target black drone."," Bravo, engage with machine-cut, heading 2300 target black droves."
23,"Turret Bravo, heading two three five, engage target red drone with machine gun."," Not a problem, heading 235 in the Star Trek Road in the Kushin gun."
24,"Control to turrets, prepare to deploy electromagnetic pulse. Target is a grey camouflage cargo aircraft on heading three three five. Fire at will to neutralize the threat. Over."," Control to TARTS, prepare to deploy a electromagnetic pulse. Target is a great camouflage cargo aircraft on heading 335. Fire at will to neutralize the threat over."
25,"Turret Alpha, engage orange and black helicopter heading one three five with the machine gun."," Turret Alpha, engage orange and block helicopter heading 135 with the machine gun."
26,"Control tower to air defense turrets, deploy interceptor jets heading three zero five, target is silver, grey, and red fighter jet."," Control tower to where different storage deploy intercepts a jet heading 305 target is silver, gray and red fighter jet"
27,"Turret Alpha, deploy anti-air artillery to intercept the grey, blue, and yellow fighter plane at heading one eight five."," Torritz Alfa, deploy and the air artillery to intercept the grey blue and yellow fight of plane at heading 185."
28,"Air defense turret, redirect heading to one two five, lock on target, red cargo aircraft. Deploy electromagnetic pulse. Engage."," Add a fan star at redirect heading to 125, lock on target, red cargo aircraft, deploy electromagnetic pulse, engage."
29,"Engage target, brown and grey fighter plane, heading two seven zero. Deploy electromagnetic pulse."," Engage targets, brown and gray fighter plane, heading 270, deploy electromagnetic bolts."
30,"Control to air defense turrets, this is Control. Prepare to engage the red and silver light aircraft at heading zero niner zero using surface-to-air missiles. Take aim and fire at will. Good luck, over."," Control to add Defense turrets, which is control. Prepare to engage the thread and silver light aircraft at heading 0-0 using surface to air missiles. Take aim and fire at quail. Good luck, forward."
31,"Engage surface-to-air missiles, heading three two zero, target purple and black commercial aircraft."," Engage a surface to air missiles heading 320 target, purple and black commercial aircraft."
32,"Activate machine gun system, target the yellow, white, and orange fighter plane heading two niner five. Engage at will."," Activate machine gun system, target the yellow, white and orange fighter plane heading 2-9-5, engage at will."
33,"Control, deploy drone catcher to heading one three five, target the red and blue drone. Over.", Control deploy drone catcher to heading 135 target the red and blue drone over
34,"Deploy anti-air artillery towards heading two six five. Engage blue, yellow, and purple helicopter."," Deployant here artillery towards heading to 65 engage blue, yellow and purple helicopter."
35,"Control to air defense turrets, prepare to deploy the machine gun. Your target is the silver missile at a heading of two seven zero. Engage at will. Over.", On tour tour air defense storage prepare to deploy the machine gun. Your target is a silver missile and a heading of 27-0. Engage at will.
36,"Turret, lock onto target, silver and yellow light aircraft, at three five zero heading. Deploy electromagnetic pulse."," Not it, not going to target. Silver and yellow light aircraft at 3.5-0 heading. Deploy electro magnetic pulse."
37,"Initiate electromagnetic pulse deployment against the brown, silver, and green drone at heading three four zero. Launch now.", Initiate electromagnetic pulse deployment against the brown silver and green drone at heading 340. Launch now.
38,"Engage red fighter plane with electromagnetic pulse, heading two five zero. Standby for impact.", Engage red fighter plane with electromagnetic pulse heading to 5-0 standby for impact
39,"Control tower to turrets, this is operator speaking. Engage yellow and white camouflage fighter jet at heading three three zero with electromagnetic pulse. Over."," Control tower to turrets. This is operator speaking. Engage yellow and white camouflage fighter jet, and heading 330 with electromagnetic pulse. Over."
40,"Control here, be advised we have a red, black, and green drone at heading two eight five. Deploy surface-to-air missiles to intercept target immediately. Over."," Control here, me advice, we have a red, black and green drone at heading 2-8-5. Deploy surface to amissers to intercept target immediately."
41,"Control Tower to interceptors, deploy interceptor jets IMMEDIATELY. Target is an orange and yellow fighter jet heading zero four zero. Engage and intercept the target. Repeat, engage and intercept the target. Over.", Control tower to intercept the second point to set the jet at the immediately. Target is a variation yellow fighter jet heading 404 zero. Engage it to set the target. Repeat. Engage it to set the target. Over.
42,"Air defense turret, adjust heading to one one five. Deploy surface-to-air missiles to intercept the silver, brown, and grey cargo aircraft."," Air defense started, but just heading to 115. Deployed surface to air missiles to intercept the silver, brown and grey cargo aircraft."
43,"Engage target, heading zero six five. Deploy EMP on red, green, and purple commercial aircraft."," Engage target, heading 065. Deploy EMP on red, green and purple commercial aircraft."
44,"Control tower to air defense turrets, deploy EMP at heading two four zero. Target is silver, blue, and brown missile."," Control-powered to air defense turrets deploy EMP at heading to 4-0. Target in Silver, Blue and Brown missiles."
45,"Turret Mike, deploy machine gun to engage the yellow and silver missile at heading one four five."," Turret mic, deploy machine gun to engage the yellow and silver missile at heading 145."
46,"Deploy anti-air artillery, heading three two five, engage blue and orange fighter jet."," Deploy and the air artillery, heading 3 to 5, engage Blue and Orange fighter jet."
47,"Turret November, target the black camouflage commercial aircraft heading zero niner zero, deploy electromagnetic pulse.", Turret November Target the black camouflage commercial aircraft heading zero nine zero deploy electromagnetics
48,"Control tower to air defense turrets, deploy machine gun, engage blue light aircraft, heading three four zero.", Control tower to air defense turrets deploy machine guns engage blue light aircraft heading 340
49,"Control commanding, deploy machine gun, heading three three zero, engage silver, black, and orange drone. Over."," Control-comacting. If Proy machine gun had in 3-3-0 in gauge silver, black and orange drone."
50,"Turret Alpha, rotate heading one five five, engage purple, brown, and silver cargo aircraft with anti-air artillery. Turret Bravo and Charlie, maintain current position and monitor for additional threats. Over.", Torret Alpha rotate heading 1-5-5 engage poples brown and silver cargo aircraft with anti air artillery Torret Bravo and Charlie maintain current position and monitor for additional threats over
51,"Turret Bravo, deploy anti-air artillery to heading two eight five. Engage blue and brown light aircraft.", Staric Bravo deploy anti-air artillery to heading to a five and gate blue and brown light aircraft.
52,"Deploy interceptor jets to heading three six zero. Engage the yellow, silver, and red cargo aircraft. Take them down swiftly and effectively.", deploy intercept objects to heading 360 and age the yellow silver and red cargo aircraft. Take them down swiftly and effectively.
53,"Deploy anti-air artillery to intercept the green, red, and black fighter jet heading three one zero."," Deploy anti-air artillery to intercept the green, red and black fighter jet heading 3-1-0."
54,"Engage target, silver, red, and white light aircraft, heading zero seven five, with anti-air artillery."," and gift target, solubo, red, and white light aircraft, heading 07-5 with anti-air artillery."
55,"Turret Alpha, prepare to deploy EMP at heading zero four five on target green fighter jet. Execute."," Turn it alpha, prepare to deploy the MB at heading 045 on target green fight attempt. Execute."
56,"Turret Bravo, deploy anti-air artillery on the white and grey drone heading two seven five."," Carrot Bravo, deploy anti-air artillery on the white and grey drone heading to 7.5."
57,"Turret Alpha, heading one four zero, target brown and blue helicopter, deploy electromagnetic pulse. Watch for impact."," Star it alpha, heading 140, target, ground and blue helicopter, deploy electromagnetic pulse. Watch for impact."
58,"Turrets, engage blue and white light aircraft heading two niner zero, deploy EMP."," Turrets, engaged blue and white light aircraft, heading 290-0 deploy EMP."
59,"Deploy surface-to-air missiles to intercept grey and white drone, heading two niner zero.", Deployment of the air. And let it get great and white chrome heading to 9.0.0.0.
60,"Control tower to turrets, heading three five zero, deploy machine gun on black and orange fighter plane.", Control tower to turret setting 350 deploy machine gun on black and orange fight of face.
61,"Control tower to turrets, heading zero two five. Deploy anti-air artillery on grey and yellow cargo aircraft.", Control tower to target heading 0 to 5. Deploy anti air artillery on grey and yellow cargo aircraft.
62,"Engage, surface-to-air missiles, heading two one five, black and red fighter jet."," Engage, circle to a middle heading 215, black and red fighter jet."
63,"Engage target, grey commercial aircraft at heading three three five, deploy electromagnetic pulse."," Engage target, gray commercial aircraft at heading 3-3-5. Deploy electromagnetic files."
64,"Turret Romeo, prepare to deploy surface-to-air missiles. Target is a red and yellow helicopter heading zero seven five. Engage when ready.", Tired to Romeo? Prepare to deploy surface to air missiles. Target is a red and yellow helicopter heading 075. Engage when ready.
65,"Control tower to turrets, deploy EMP, target orange light aircraft, heading three four five."," Control tower to turret. Deploy EMP target orange light echo, copy aircraft heading 3.45."
66,"Turret Bravo, target the purple, white, and green drone heading two six zero. Deploy EMP."," Target Bravo, Target the purple, white and green drone, heading to 6.0. Deploy ELD."
67,"Control speaking, deploy surface-to-air missiles to heading two three zero. Target is a yellow, white, and blue light aircraft. Engage and destroy the enemy. Over."," Control-seeking deploys surface to air missiles to heading 2-3-0. Target is a yellow, white and blue light aircraft. Engage and destroy the enemy over."
68,"Control calling Delta Turret, be advised, deploy surface-to-air missiles, heading two six five, engage black cargo aircraft. Execute immediately. Over."," Control calling Delta-3, be advised, deploy surface to air missiles, heading 265 in gauge black cargo aircraft, execute immediately over."
69,"Control tower to turrets, prepare to deploy EMP on red and grey commercial aircraft heading three five five. Lock target and commence firing sequence. Standby for further instructions."," Control tower deterrence prepared to deploy EMP on red and grey commercial aircraft heading 3, 5, 5. Lock target and commence firing sequence. Stand by for further instructions."
70,"Turret Alfa, deploy machine gun on yellow, grey, and orange helicopter heading two two five.", Current alpha deploy machine gun on yellow grey and orange helicopter heading to 25.
71,"Deploy interceptor jets to intercept and engage orange, purple, and black fighter plane heading two three zero."," If no intercepter gets to intercept and engage orange, purple and black fight are playing heading 23-0."
72,"Activate machine gun, heading two six zero, engage grey, black, and orange missile."," Activate machine gun, heading 260 route, engage brave black and orange missile."
73,"Turret Foxtrot, engage enemy aircraft heading zero seven zero. Deploy anti-air artillery against silver and red camouflage fighter jet. Proceed with caution."," 2-rate pop-stalk, engage enemy aircraft heading 070. Deploy anti air artillery, again silver and red camouflage fighter jet. Proceed with caution."
74,"Target the red, green, and silver missile at heading one eight five. Deploy surface-to-air missiles. Launch!", Target the red green and silver besides X8185. It lowers the 628 besides launch.
75,"Control to turrets, prepare to engage target at heading three four zero. Deploy machine gun on yellow and red helicopter. Take aim and fire at will. Commence attack!"," For true to turret, prepare to engage target at heading 340. Deploy machines on yellow and red helicopter. Take aim and fire at will. comments attack."
76,"Control here, prepare to deploy surface-to-air missiles towards a blue fighter jet at heading three four five. Launch when ready. Over.", Control here. Prepare to deploy surface to air missiles towards a blue fighter jet at heading 3-4-5. Launch when ready. Over.
77,"Turret Echo, engage orange drone with drone catcher at heading one eight five."," Tari teko, engage our instruments with drone capture at heading 1-8-5."
78,"Control here, deploying EMP tool to heading three five zero, targeting the silver and purple camouflage cargo aircraft. Engage at will. Over."," Control here deploying EMP to the heading 3.5.0, targeting the silver and purple camouflage cargo aircraft. Engage at WINS, over."
79,"Deploy surface-to-air missiles, heading three three five, engage blue, grey, and orange missile."," The police officer here, myself heading to 335 in gauge blue, gray and orange missiles."
80,"Turret Alpha, surface-to-air missiles, target the yellow fighter plane at heading one zero zero."," Toilet Alpha surface to add missiles, target the yellow fighter plane at heading 100."
81,"Turret Alpha, engage target, purple, silver, and grey fighter plane at heading one zero zero using machine gun."," Nari Talpa, Engage Target, Porto Silver and Gray Fight-up Lane at heading 100 using machine guns."
82,"Deploy interceptor jets to intercept red, black, and purple cargo aircraft heading two two zero."," The fully-interceptor gets to intercept red, black, and purple cargo aircraft heading 2 to 0."
83,"Control Tower to Air Defense Turrets, neutralize the grey and green fighter plane heading two five five using electromagnetic pulse."," Control tower to add the bench turrets, neutralize the grey and green fighter plane, heading 255 using electromagnetic poles."
84,"Control to all turrets, we have a brown commercial aircraft on heading one eight zero. Deploy EMP immediately."," Onceral to all tourists, we have a brown commercial aircraft on the heading 1K2. Deploy EMP immediately."
85,"Turret Bravo, engage black cargo aircraft with interceptor jets heading three one zero.", Turret Bravo and gauge black cargo aircraft with intersector deck heading 3-1-0.
86,"Control here, we have multiple hostiles inbound, a trio of purple, green, and orange cargo aircraft approaching at heading two eight zero. Deploy electromagnetic pulse immediately to neutralize the threat. Over."," We have multiple flash times in-town, a trio of purple, green and orange cargo aircraft approaching at heading 280 deploy electromagnetics pulse immediately to neutralize the threat over."
87,"Turret, adjust heading to three five zero. Deploy electromagnetic pulse against brown, purple, and blue drone.", Start it for just heading to 350 deploy electromagnetic pulse against ground purple and blue drool.
88,"Control tower to air defense turrets, deploy electromagnetic pulse, heading one eight zero, target brown light aircraft. This is a confirmed hostile threat. Engage and eliminate."," Control tower to air the sun starts. Deploy electromagnetic pulse, heading 180 target round light aircraft. This is a confirmed hostile threat. Engage and eliminate."
89,Deploy machine gun on yellow and black fighter jet at heading one seven five., Deploy machine gun on yellow and black side of jet at heading 175.
90,"Control here, deploying a machine gun to heading two five zero for engagement of the silver and green helicopter. Over.", Control here deploying a machine gun to heading 250 for engagement of the silver and green helicopter over.
91,"Deploy electromagnetic pulse, heading two six zero, target orange and white fighter jet.", Deploy electromagnetic bolt heading 260 target orange and white fighter kit.
92,"Air defense turret, deploy interceptor jets to heading one niner five. Engage the yellow, red, and silver fighter plane."," Add a sand starlet, deploy and deceptigest to heading 195. Engage the yellow, red and silver fighter plane."
93,Deploy anti-air artillery to heading three four five. Engage orange and purple missile., Deploy anti air artillery to heading 3 4 5. Engage orange and purple missile.
94,"Engage electromagnetic pulse on purple, yellow, and brown fighter plane at heading three zero five."," Pin gauge electromagnetic pulse on purple, yellow and brown fight plane at heading 3-05."
95,"Deploy interceptor jets, heading three three zero, intercept orange, white, and blue fighter plane."," Deploy interceptages, any 330 intercept orange white, and blue, finder-play."
96,"Engage target, silver, green, and orange cargo aircraft, with EMP. Heading one two five."," Engage target, silver, green and orange cargo aircraft with CMP heading one to five."
97,"Deploy electromagnetic pulse, heading two seven zero, target silver and black commercial aircraft.", Deploy electromagnetic pulse heading 270 target server and black commercial aircraft.
98,"Control tower to air defense turrets, target grey missile at heading two seven five, deploy machine gun.", Control tower to where the fence cut it. Target grain this side that heading 27.5. Deploy machine gun.
99,"Control tower, deploy EMP at heading three zero five, target orange missile.", Control tower deploy EMP at heading 305 target orange missiles.
100,"Control Tower to Turrets, deploy EMP towards green, black, and silver missile heading one five zero."," Control tower to turrets. Deploy EMPA towards green, black and silver missile heading 150."
101,"Turret Charlie, deploy interceptor jets to intercept the brown fighter plane heading one seven five.", to retrieve the employees to set the jet to accept the profile of the heading 175.
102,"Control to air defense turrets, we have a red fighter jet approaching on a heading of zero zero five. Deploy EMP immediately. Over."," Control to air sensor, we have a red fighter jet approaching on the heading of 005. For the EMP, immediately over."
103,"Control to air defense turrets, heading two three zero, target blue drone, engaging with EMP."," Control to air defense turrets, heading to 330 target Blue Throne engaging with EFP."
104,"Control to air defense turrets, deploy electromagnetic pulse, heading one zero five, engage target, brown and white cargo aircraft.", Control to air defense turrets. Deploy electromagnetic force heading 105. Engage target. Round and fight cargo aircraft.
105,"Deploy electromagnetic pulse, target the blue light aircraft at heading one zero five. Ready to engage."," Deploy electromagnetic pulse, target the blue light aircraft at heading 105. Ready to engage."
106,"Control here. Prepare to deploy EMP on a white, yellow, and silver commercial aircraft heading zero eight five. Target locked, engage EMP now. Stand by for confirmation."," Control your prepare to deploy PME on a white, yellow and silco-commercial aircraft heading 085. Target locks engage PME now. Stand by for confirmation."
107,"Deploy surface-to-air missiles towards yellow, green, and orange commercial aircraft heading two four zero."," Get the laser flag and then I need one yellow, green and orange commercial aircraft heading to 4.0."
108,"Engage surface-to-air missiles on heading zero three zero. Target the red, silver, and purple cargo aircraft. Launch missiles."," Engage, surface to air missiles on heading 030 target the red silver and purple cargo aircraft launch missiles"
109,"Engage target, silver, blue, and green drone, at heading one six five with anti-air artillery."," In case Target silver, blue and green drawers add head in 1 6 5 with anti-air artillery"
110,"Control tower to turrets, intercept and engage grey and blue commercial aircraft at heading two five zero. Deploy anti-air artillery."," Control tower to storage, intercept and engage great and blue commercial aircraft at heading two five zero. Deployant air artillery."
111,"Turrets, deploy anti-air artillery on the white and blue drone at heading one six five."," Nuttics, it's really handy in our facility on the white and blue drone at heading 165."
112,"Echo turret, deploy machine gun on heading one seven five, target blue light aircraft."," Echo torrent, deploy machine gun on heading 175 target blue light aircraft."
113,"Turret Tango, deploy surface-to-air missiles to intercept the red and purple fighter jet at heading two three zero.", Start a tango deploy service to air missiles to intercept the red and purple fighter jet at heading 2.3.0
114,"Control tower to air defense turrets, target is a black commercial aircraft heading one zero five. Deploy surface-to-air missiles. Engage target immediately.", Control Tower to add a sensor its target is a black commercial aircraft heading 105. The police surface to air missiles engage target immediately.
115,"Turret Bravo, deploy machine gun on black and brown helicopter at heading three two zero."," Tired Bravo, deploy machine gun on black and brown helicopter at heading 3 to 0."
116,"Engage target, black and grey fighter plane, heading two four zero, with EMP."," Engage target, black and gray fighter plane heading 240 with EMP."
117,"Control tower to air defense turrets, deploy EMP, heading zero six zero, engage black and grey cargo aircraft."," Control tower to air sensors, deploy EMT heading 060, engage black and grey cargo aircraft."
118,Control here. Engage electromagnetic pulse on the blue and orange fighter jet at heading zero seven five. Execute., Control here. Engage electromagnetic pulse on the blue and orange fighter jet at heading 07-5. Execute.
119,Control tower to air defense turrets. Intercept black drone at heading two five five. Deploy drone catcher. Proceed with caution.," Control tower to air-case and direct. In just a black drone I can't even do 5-5. If no I don't catch it, go see the question."
120,"Control commanding air defense turrets to deploy machine gun tool, target yellow and black light aircraft, heading zero eight zero."," Control Commanding Air Defense turrets to deploy machine gun tool, target yellow and black light aircraft, heading 080."
121,"Activate surface-to-air missiles, engage target, heading zero five five, purple light aircraft."," Activate surface to air missiles, engage target, heading 055 Purple Light aircraft."
122,"Control to turrets, prepare to deploy electromagnetic pulse. Heading zero four zero. Target is a yellow, silver, and grey missile. Engage at will.", Control to 30. Prepare to deploy electromagnetic pulse. Heading 040. Target is a yellow silver and gray missile. Engage at will.
123,"Control here. Deploy surface-to-air missiles to heading two eight five. Target is a white, silver, and orange light aircraft. Engage at will. Over."," Control here. If no one's supposed to air missiles to heading to it, my target is a white silver and morning sight and nothing needed with... movement."
124,"Control tower to defense turrets, prepare to engage. Deploy surface-to-air missiles targeting blue, orange, and brown missile heading three two five.", But through our network of defense studies prepare to engage. Deploy so efficiently and missus not getting through what it's around misses heading three to five.
125,"Control tower to turrets, target at heading one five zero. Engage green, blue, and orange drone with anti-air artillery. Target locked, fire at will.", Control tower to turret target at heading 150. You get green blue and the one stroke with anti-air or kill it. Target locked fire at will.
126,"Air defense turret, deploy EMP on red, purple, and silver fighter jet heading zero five five.", and Defense turret deploy EMP on red purple and silver fighter jet heading 055.
127,"Air defense turret, set heading to one five five. Deploy machine gun on the yellow and silver fighter plane. Engage target."," Air Defense turret set heading to 1.55, the plug machine gun on the yellow and silver fighter plane engaged targets."
128,"Control tower to air defense turrets, target is green, grey, and orange light aircraft, deploy surface-to-air missiles, heading three four zero."," Control tower to add the send stars. Target is green, grey and orange light aircraft. The Floyd surface to air missiles heading 3-4-0."
129,"Control tower to air defense turrets, heading one seven five. Deploy machine gun on blue and brown fighter plane."," Control tower to air defense carrots, heading 175. Deploy machine gun on blue and brown fighter plane."
130,"Deploy machine gun, target yellow drone, heading three two five.", Deploy machine gun target yellow drone heading 3 to 5.
131,"Control here, target is a red helicopter at heading zero four five, initiate deployment of the anti-air artillery. Over.", Control here target is a red helicopter and heading the air of 4.5. The safety point is the update here at artillery.
132,"Turret Bravo, deploy drone catcher to intercept grey, silver, and red drone at heading three five five."," Tada gravel, deploy drone catcher to intercept gray, silver and red drone at heading 355."
133,"Control to air defense turrets, we have a situation requiring immediate attention. Prepare to deploy interceptor jets on heading three five zero to engage a brown, purple, and blue fighter plane. Over."," Control to air defense turrets. We have a situation requiring immediate attention. Prepare to deploy interceptor jets from heading 350 to engage a brown, purple and blue fighter plane over."
134,"Turret Charlie, heading zero five zero, target purple and grey light aircraft, deploy EMP."," To a Charlie, heading 050, target purple and gray light aircraft deploy EMT."
135,Deploy EMP on purple and black commercial aircraft heading zero one five., Deployed DMP on purple and black commercial aircraft heading 015.
136,Deploy interceptor jets immediately. Target is grey and orange fighter plane heading one one zero. Engage and neutralize the threat., deploy interceptor jets immediately target is gray and orange fighter plane heading 110 engage and neutralize the threat
137,"Deploy anti-air artillery, target grey and yellow commercial aircraft, heading zero two zero.", Keep going on the air activity. Target gray and yellow commercial aircraft heading 0 to 0.
138,"Control to air defense turrets, deploy interceptor jets to heading two seven zero, engage purple commercial aircraft. Over."," Control to add defense turrets, Deeplaur Interceptor Jet to heading 270 and H-purple Commercial Aircraft."
139,"Turret, head one seven zero. Engage silver, grey, and yellow light aircraft with the machine gun."," Hit 170, engage Silver Gray and Yellow Light Headcraft with the machine gun."
140,"Control tower to air defense turrets, deploy EMP on heading two five zero, targeting brown missile.", A true tell-to-air defense turret's deploy EMP on heading 250 targeting Brown missile.
141,Deploy EMP on heading two six five to disable the white and silver cargo aircraft., Deploy EMP on heading 265 to disable the white and silver cargo aircraft.
142,"Turret Alpha, engage the grey, orange, and yellow fighter jet at zero five five with surface-to-air missiles. Turret Bravo, stand by for further orders."," Torret alpha engaged gray, orange and yellow fighter jet at 055 with surface to air missiles. Torret Bravo stand by for further orders."
143,"Deploy machine gun, heading two two zero, engage silver helicopter.", the toy machine gun heading 220 in gauge silver helicopter.
144,Fire anti-air artillery at the blue and yellow camouflage cargo aircraft heading one three zero.," Fire, anti-air, artillery, the blue and yellow camouflage cargo aircraft heading 130."
145,Control here. Prepare to engage brown fighter jet at heading two four five using machine gun. Fire at will. Over., Control it. Prepare to engage ground-side to get a getting two four five using machine gun. Fire at once. Move us.
146,"Control tower to turrets, prepare to engage. Heading zero five zero, target is an orange, brown, and yellow fighter jet. Deploy machine gun."," Control tower to turrets prepare to engage, heading 050 target is an orange, brown and yellow fighter jet. Deploy machine gun."
147,"Turrets, target white and red light aircraft at heading one eight zero. Deploy surface-to-air missiles. Engage target."," Target, target white and red light aircraft at heading 180. Deploy surface to air missile. Engage target."
148,"Turret Sierra, target the silver and purple commercial aircraft heading one niner zero. Deploy EMP."," Tarsiera, target the silver and pop-biscum ocean aircraft, heading 190 to play K&P."
149,"Turret Bravo, track and engage the brown helicopter at heading one three five with surface-to-air missiles. Take the shot when ready. Turret Bravo, the target is now within your range and lock-on is confirmed. Fire at will.", Turret Bravo track and engage the brown helicopter at heading 135 with surface to air missiles. Take the shot when ready. Turret Bravo the target is now within your range and local is confirmed. Fire at will.
150,Target the red cargo aircraft traveling at heading two niner zero. Engage with surface-to-air missiles. Fire when ready., Target the red cargo aircraft traveling and getting two 9.0 gauge with surface to air missile fire wind rate.
151,"Control tower to air defense turrets, deploy electromagnetic pulse on heading three five five, target purple fighter plane. Proceed with caution.", Control tower to air defense turrets deploy electromagnetic pulse on heading 355 target purple fighter plane proceed with caution
152,"Control to all turrets, deploy electromagnetic pulse, heading one five zero, engage target grey missile. Over."," Control to all targets deploy electromagnetic pulse, heading 15, 0 engaged target frame aside."
153,"Control tower to air defense turrets, deploy machine gun, heading two niner five, target yellow light aircraft. Engage and neutralize. Over."," Control tower to air defense storage deploy machine gun heading 295. Target your light aircraft, engage and neutralize."
154,"Control here, we have a silver fighter plane at heading three two five. Deploy the machine gun tool to engage the target.", Control here. We have a silver fighter plane at heading 325. Deploy the machine gun tool to engage the target.
155,"Control tower to all air defense turrets, this is Commander Smith. Deploy EMP on brown, grey, and white fighter plane heading one one five. Take immediate action."," Control tower to all air defense turrets. This is Commander Smith. Deploy EMP on Brown, Gray and White Fighter plane heading 115. Take immediate action."
156,"Control to air defense turrets, deploy EMP against the brown and purple commercial aircraft heading two eight five. Proceed with caution."," Control to add Defense turrets, deploy EMP against the brown and purple commercial aircraft heading to 8.5. Proceed with caution."
157,"Deploy EMP on heading two five five to neutralize the green, black, and brown cargo aircraft."," Deploy EMP on heading 255 to the right to green, black and brown purple, and purple."
158,"Deploy anti-air artillery on heading two three five to intercept the yellow, red, and brown cargo aircraft."," Deploy anti-air artillery on heading 235 to intercept the yellow, red and brown cargo aircraft."
159,"Turret Bravo, engage brown helicopter at heading three two zero with anti-air artillery.", Current Bravo engaged Brown helicopter at heading 3 to 0 with anti-air artillery.
160,"Control to air defense turrets, deploy the machine gun. Target is the red camouflage fighter jet. Heading two four zero. Engage and neutralize the threat. Over.", Control to air defense turrets. Deploy the machine gun. Target is the red camouflage fighter jet heading 240. Engage and neutralize the threat over.
161,"Control here. Deploy the machine gun towards the orange and yellow camouflage helicopter at heading one three zero. Engage target immediately. Repeat, engage target immediately."," Control here, deploy the machine gun to work, the orange and yellow camouflage helicopter, and heading 1 through 0. Engage target immediately, repeat engaged target immediately."
